افریقہ	África
سانچہ:Country data Quebec	Predefinição:Country data Quebec
سانچہ:Country data Queensland	Predefinição:Country data Queensland
سانچہ:Country data Republic of China (1912-1949)	Predefinição:Country data República da China (1912–1949)
سانچہ:Country data Republic of Texas	Predefinição:Country data República do Texas
سانچہ:Country data Republika Srpska	Predefinição:Country data Republika Srpska
سانچہ:Country data Rhode Island	Predefinição:Country data Rhode Island
سانچہ:Country data Rheinland-Pfalz	Predefinição:Country data Rhineland-Palatinate
سانچہ:Country data Qing Dynasty	Predefinição:Country data Dinastia Qing
سانچہ:Country data Rio de Janeiro	Predefinição:Country data Rio de Janeiro
سانچہ:Country data Rio Grande do Sul	Predefinição:Country data Rio Grande do Sul
سانچہ:Country data Rwanda	Predefinição:Country data Ruanda
سانچہ:Country data Rondônia	Predefinição:Country data Rondônia
سانچہ:Country data Réunion	Predefinição:Country data Reunião
سانچہ:Country data Roraima	Predefinição:Country data Roraima
سانچہ:Country data Rhodesia	Predefinição:Country data Rodésia
سانچہ:Country data SR Croatia	Predefinição:Country data SR Croácia
سانچہ:Country data SR Macedonia	Predefinição:Country data SR Macedonia
سانچہ:Country data Río Negro (Argentina)	Predefinição:Country data Río Negro (Argentina)
سانچہ:Country data SR Montenegro	Predefinição:Country data RS Montenegro
سانچہ:Country data Sahrawi Arab Democratic Republic	Predefinição:Country data República Árabe Saaráui Democrática
سانچہ:Country data Saint Helena	Predefinição:Country data Saint Helena
سانچہ:Country data Saint Lucia	Predefinição:Country data Santa Lúcia
سانچہ:Country data Saitama Prefecture	Predefinição:Country data Saitama
سانچہ:Country data San Juan	Predefinição:Country data San Juan
سانچہ:Country data Santa Catarina	Predefinição:Country data Santa Catarina
سانچہ:Country data San Luis	Predefinição:Country data San Luis
سانچہ:Country data Santa Cruz	Predefinição:Country data Santa Cruz
سانچہ:Country data Saskatchewan	Predefinição:Country data Saskatchewan
سانچہ:Country data Santa Fe	Predefinição:Country data Santa Fe
سانچہ:Country data Saint Pierre and Miquelon	Predefinição:Country data Saint Pierre e Miquelon
سانچہ:Country data Selangor	Predefinição:Country data Selangor
سانچہ:Country data Sevastopol	Predefinição:Country data Sevastopol
سانچہ:Country data Schleswig-Holstein	Predefinição:Country data Schleswig-Holstein
سانچہ:Country data Serbian Empire	Predefinição:Country data Império da Sérvia
سانچہ:Country data Sergipe	Predefinição:Country data Sergipe
سانچہ:Country data Sharjah	Predefinição:Country data Sharjah
سانچہ:Country data Sicily	Predefinição:Country data Sicília
سانچہ:Country data Sierra Leone	Predefinição:Country data Serra Leoa
زمرہ:نکاراگوا میں فنون	Categoria:Artes da Nicarágua
سانچہ:Country data Shizuoka Prefecture	Predefinição:Country data Shizuoka
سانچہ:Country data Sint Maarten	Predefinição:Country data Sint Maarten
زمرہ:2012ء میں قزاقستان	Categoria:2012 no Cazaquistão
سانچہ:Country data South America	Predefinição:Country data América do Sul
سانچہ:Country data South Dakota	Predefinição:Country data Dakota do Sul
سانچہ:Country data South Moluccas	Predefinição:Country data República das Molucas do Sul
سانچہ:Country data South Yemen	Predefinição:Country data Iêmen do Sul
سانچہ:Country data South Arabia	Predefinição:Country data Arábia do Sul
سانچہ:Country data Southern Cameroons	Predefinição:Country data Camarões do Sul
سانچہ:Country data Southern Rhodesia	Predefinição:Country data Rodésia do Sul
سانچہ:Country data Spanish State	Predefinição:Country data Estado espanhol
سانچہ:Country data State of Palestine	Predefinição:Country data Estado da Palestina
سانچہ:Country data Straits Settlements	Predefinição:Country data Estabelecimentos dos Estreitos
سانچہ:Country data Suriname	Predefinição:Country data Suriname
سانچہ:Country data Svalbard	Predefinição:Country data Svalbard
سانچہ:Country data Syria	Predefinição:Country data Síria
سانچہ:Country data São Paulo	Predefinição:Country data São Paulo
سانچہ:Country data São Tomé and Príncipe	Predefinição:Country data São Tomé e Príncipe
سانچہ:Country data Tasmania	Predefinição:Country data Tasmânia
سانچہ:Country data Tennessee	Predefinição:Country data Tennessee
سانچہ:Country data Terengganu	Predefinição:Country data Terengganu
سانچہ:Country data Tibet	Predefinição:Country data Tibete
سانچہ:Country data Tanganyika	Predefinição:Country data Tanganyika
سانچہ:Country data Tierra del Fuego	Predefinição:Country data Tierra del Fuego
سانچہ:Country data Tokelau	Predefinição:Country data Tokelau
سانچہ:Country data Singapore	Predefinição:Country data Singapura
سانچہ:Country data Tokushima Prefecture	Predefinição:Country data Tokushima
سانچہ:Country data Transnistria	Predefinição:Country data Transnístria
سانچہ:Country data Tokyo	Predefinição:Country data Tóquio
سانچہ:Country data Transcaucasian SFSR	Predefinição:Country data RSFS da Transcaucasiana
سانچہ:Country data Tristan da Cunha	Predefinição:Country data Tristão da Cunha
سانچہ:Country data Tottori Prefecture	Predefinição:Country data Tottori
سانچہ:Country data Toyama Prefecture	Predefinição:Country data Toyama
سانچہ:Country data Turks and Caicos Islands	Predefinição:Country data Ilhas Turks e Caicos
سانچہ:Country data Uganda	Predefinição:Country data Uganda
سانچہ:Country data Ukrainian SSR	Predefinição:Country data RSS da Ucrânia
سانچہ:Country data Umm al-Quwain	Predefinição:Country data Umm al-Quwain
سانچہ:Country data United Nations	Predefinição:Country data Nações Unidas
سانچہ:Country data Upper Volta	Predefinição:Country data Alto Volta
سانچہ:Country data Utah	Predefinição:Country data Utah
سانچہ:Country data United States Minor Outlying Islands	Predefinição:Country data Ilhas Menores Distantes dos Estados Unidos
سانچہ:Country data Valencian Community	Predefinição:Country data Comunidade Valenciana
سانچہ:Country data Vanuatu	Predefinição:Country data Vanuatu
سانچہ:Country data Vermont	Predefinição:Country data Vermont
سانچہ:Country data Virginia	Predefinição:Country data Virginia
سانچہ:Country data Uzbek SSR	Predefinição:Country data RSS do Uzbequistão
سانچہ:Country data Washington	Predefinição:Country data Washington
سانچہ:Country data Washington, D.C.	Predefinição:Country data Washington, D.C.
سانچہ:Country data West Virginia	Predefinição:Country data Virgínia Ocidental
سانچہ:Country data Western Australia	Predefinição:Country data Austrália Ocidental
سانچہ:Country data West Indies Federation	Predefinição:Country data Federação das Índias Ocidentais
سانچہ:Country data Wakayama Prefecture	Predefinição:Country data Wakayama
سانچہ:Country data Wisconsin	Predefinição:Country data Wisconsin
سانچہ:Country data Wyoming	Predefinição:Country data Wyoming
سانچہ:Country data Yemen	Predefinição:Country data Iémen
سانچہ:Country data Yukon	Predefinição:Country data Yukon
سانچہ:Country data Zambia	Predefinição:Country data Zâmbia
سانچہ:Country data Zanzibar	Predefinição:Country data Zanzibar
سانچہ:Country data Yamagata Prefecture	Predefinição:Country data Yamagata
سانچہ:Country data Yamaguchi Prefecture	Predefinição:Country data Yamaguchi
سانچہ:Country data Yamanashi Prefecture	Predefinição:Country data Yamanashi
سانچہ:Country data Åland Islands	Predefinição:Country data Ilhas Åland
سانچہ:Country flag IOC alias HKG	Predefinição:Country flag IOC alias HKG
سانچہ:Country flag IOC alias IND	Predefinição:Country flag IOC alias IND
سانچہ:Country flag IOC alias IRQ	Predefinição:Country flag IOC alias IRQ
سانچہ:Country flag IOC alias ISR	Predefinição:Country flag IOC alias ISR
سانچہ:Country flag IOC alias JPN	Predefinição:Country flag IOC alias JPN
سانچہ:Country flag IOC alias KAZ	Predefinição:Country flag IOC alias KAZ
سانچہ:Lang-pl	Predefinição:Lang-pl
زمرہ:سیاسہ توانائی	Categoria:Política energética
زمرہ:آبادیات بیلاروس	Categoria:Demografia da Bielorrússia
تآن فو ضلع	Distrito de Tan Phu
سانچہ:Country data Basque Country	Predefinição:Country data País Basco
زمرہ:نائب صدور	Categoria:Vice-presidentes
زمرہ:جمہوریہ ڈومینیکن کے دوطرفہ تعلقات	Categoria:Relações bilaterais da República Dominicana
زمرہ:یروشلم کے پہاڑ	Categoria:Montanhas de Jerusalém
تاشا ریگن	Tasha Reign
زمرہ:طبیب بلحاظ صدی	Categoria:Médicos por século
زمرہ:بوسنیا و ہرزیگووینا میں انتخابات	Categoria:Eleições na Bósnia e Herzegovina
زمرہ:وانواتو میں انتخابات	Categoria:Eleições em Vanuatu
زمرہ:کرغیزستان میں انتخابات	Categoria:Eleições no Quirguistão
زمرہ:لبنان میں انتخابات	Categoria:Eleições no Líbano
زمرہ:میکسیکو میں انتخابات	Categoria:Eleições no México
زمرہ:موزمبیق میں انتخابات	Categoria:Eleições em Moçambique
زمرہ:نائجر میں انتخابات	Categoria:Eleições no Níger
زمرہ:پیراگوئے میں انتخابات	Categoria:Eleições no Paraguai
زمرہ:ابخازيا میں انتخابات	Categoria:Eleições na Abecásia
زمرہ:جمہوریہ کانگو میں انتخابات	Categoria:Eleições na República do Congo
زمرہ:جمہوریہ مقدونیہ میں انتخابات	Categoria:Eleições na República da Macedônia
زمرہ:روانڈا میں انتخابات	Categoria:Eleições em Ruanda
زمرہ:ایل سیلواڈور میں انتخابات	Categoria:Eleições em El Salvador
زمرہ:ٹوگو میں انتخابات	Categoria:Eleições no Togo
زمرہ:ٹرینیڈاڈ و ٹوباگو میں انتخابات	Categoria:Eleições em Trinidad e Tobago
زمرہ:ترکمانستان میں انتخابات	Categoria:Eleições no Turquemenistão
زمرہ:مونٹینیگرو میں انتخابات	Categoria:Eleições em Montenegro
زمرہ:ایتھوپیا میں انتخابات	Categoria:Eleições na Etiópia
زمرہ:مالٹا میں انتخابات	Categoria:Eleições em Malta
زمرہ:محصورات	Categoria:Enclaves e exclaves
زمرہ:اسرائیل کے اخبارات	Categoria:Jornais de Israel
زمرہ:لکسمبرگ کے اخبارات	Categoria:Jornais de Luxemburgo
زمرہ:پرتگال کے اخبارات	Categoria:Jornais de Portugal
زمرہ:چلی کے اخبارات	Categoria:Jornais do Chile
زمرہ:غزنوی حکمران	Categoria:Sultões do Império Gaznévida
زمرہ:جغرافیہ سلطنت عثمانیہ	Categoria:Geografia do Império Otomano
زمرہ:جغرافیہ سنکیانگ	Categoria:Geografia de Xinjiang
زمرہ:جمہوریہ ڈومینیکن کی ذیلی تقسیم	Categoria:Subdivisões da República Dominicana
زمرہ:جغرافیہ آسٹریلیا بلحاظ ریاست یا علاقہ	Categoria:Geografia da Austrália por estado ou território
زمرہ:افغان خانہ جنگی	Categoria:Guerra Civil Afegã
زمرہ:شامی صدور	Categoria:Presidentes da Síria
زمرہ:آسٹریا کے اجسام آب	Categoria:Corpos de água da Áustria
زمرہ:جارجیا میں اجسام آب	Categoria:Corpos de água da Geórgia
زمرہ:لٹویا کے اجسام آب	Categoria:Corpos de água da Letónia
زمرہ:لتھووینیا میں اجسام آب	Categoria:Corpos de água da Lituânia
زمرہ:یوکرین میں اجسام آب	Categoria:Corpos de água da Ucrânia
زمرہ:سالہائے بنگلہ دیش	Categoria:Anos em Bangladesh
زمرہ:سالہائے بوٹسوانا	Categoria:Anos em Botsuana
زمرہ:سالہائے جمہوریہ گنی	Categoria:Anos na Guiné
زمرہ:سالہائے گنی بساؤ	Categoria:Anos na Guiné-Bissau
زمرہ:سالہائے اردن	Categoria:Anos na Jordânia
سانچہ:Country data Eritrea	Predefinição:Country data Eritreia
زمرہ:سالہائے نائجر	Categoria:Anos no Níger
زمرہ:سالہائے ٹوگو	Categoria:Anos no Togo
زمرہ:سالہائے ترکمانستان	Categoria:Anos no Turcomenistão
زمرہ:سالہائے جزائر سلیمان	Categoria:Anos nas Ilhas Salomão
زمرہ:سالہائے فجی	Categoria:Anos nas Fiji
زمرہ:ہانگ کانگ میں نقل و حمل	Categoria:Transportes de Hong Kong
چین (ضد ابہام)	China (desambiguação)
زمرہ:گوئیژو کے شہر	Categoria:Cidades de Guizhou
زمرہ:انگولہ کے پہاڑ	Categoria:Montanhas de Angola
زمرہ:برونائی کے پہاڑ	Categoria:Montanhas do Brunei
زمرہ:صومالیہ کے پہاڑ	Categoria:Montanhas da Somália
زمرہ:ٹوگو کے پہاڑ	Categoria:Montanhas do Togo
زمرہ:حکومت زیمبیا	Categoria:Governo da Zâmbia
زمرہ:حکومت قازقستان	Categoria:Governo do Cazaquistão
زمرہ:حکومت قبرص	Categoria:Governo do Chipre
زمرہ:بھارت کے محلات	Categoria:Palácios da Índia
زمرہ:آرمینیا کے دوطرفہ تعلقات	Categoria:Relações bilaterais da Armênia
زمرہ:بنگلہ دیش کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Bangladesh
زمرہ:بولیویا کے دوطرفہ تعلقات	Categoria:Relações bilaterais da Bolívia
زمرہ:مجارستان کے دوطرفہ تعلقات	Categoria:Relações bilaterais da Hungria
زمرہ:وینیزویلا کے دوطرفہ تعلقات	Categoria:Relações bilaterais da Venezuela
زمرہ:جارجیا کے دوطرفہ تعلقات	Categoria:Relações bilaterais da Geórgia
زمرہ:قازقستان کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Cazaquistão
زمرہ:کیمرون کے دوطرفہ تعلقات	Categoria:Relações bilaterais dos Camarões
زمرہ:نائجر کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Níger
زمرہ:نائجیریا کے دوطرفہ تعلقات	Categoria:Relações bilaterais da Nigéria
زمرہ:ازبکستان کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Uzbequistão
زمرہ:چلی کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Chile
زمرہ:سری لنکا کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Sri Lanka
زمرہ:کرغیزستان کے دوطرفہ تعلقات	Categoria:Relações bilaterais do Quirguistão
زمرہ:برونائی کے سیاحتی مقامات	Categoria:Atrações turísticas do Brunei
زمرہ:گھانا کے سیاحتی مقامات	Categoria:Atrações turísticas do Gana
زمرہ:ہونڈوراس کے سیاحتی مقامات	Categoria:Atrações turísticas das Honduras
زمرہ:قبرص کے سیاحتی مقامات	Categoria:Atrações turísticas do Chipre
زمرہ:کولمبیا کے سیاحتی مقامات	Categoria:Atrações turísticas da Colômbia
زمرہ:لائبیریا کے سیاحتی مقامات	Categoria:Atrações turísticas da Libéria
زمرہ:مڈغاسکر کے سیاحتی مقامات	Categoria:Atrações turísticas de Madagáscar
زمرہ:منگولیا کے سیاحتی مقامات	Categoria:Atrações turísticas da Mongólia
زمرہ:نمیبیا کے سیاحتی مقامات	Categoria:Atrações turísticas da Namíbia
زمرہ:نائجیریا کے سیاحتی مقامات	Categoria:Atrações turísticas da Nigéria
زمرہ:پیراگوئے کے سیاحتی مقامات	Categoria:Atrações turísticas do Paraguai
زمرہ:سعودی عرب کے سیاحتی مقامات	Categoria:Atrações turísticas da Arábia Saudita
زمرہ:سوڈان کے سیاحتی مقامات	Categoria:Atrações turísticas do Sudão
زمرہ:یوراگوئے کے سیاحتی مقامات	Categoria:Atrações turísticas do Uruguai
زمرہ:بھارت کے سیاحتی مقامات بلحاظ ریاست	Categoria:Atrações turísticas da Índia por estado ou território
زمرہ:میساچوسٹس کے سیاحتی مقامات	Categoria:Atrações turísticas de Massachusetts
زمرہ:جارجیا میں قدیم لوگ	Categoria:Antigas tribos da Geórgia
زمرہ:مصر اسرائیل تعلقات	Categoria:Relações entre Egito e Israel
زمرہ:ہسپانیہ کے صوبے	Categoria:Províncias da Espanha
زمرہ:غرقاب شہر	Categoria:Localidades submersas
زمرہ:بھارت میں زلزلے	Categoria:Sismos na Índia
زمرہ:کوسٹاریکا میں زلزلے	Categoria:Sismos na Costa Rica
زمرہ:مراکش میں زلزلے	Categoria:Sismos em Marrocos
زمرہ:پرتگال میں زلزلے	Categoria:Sismos em Portugal
زمرہ:شام میں زلزلے	Categoria:Sismos na Síria
زمرہ:مڈغاسکر میں جل تھلیل	Categoria:Anfíbios de Madagáscar
زمرہ:نیوزی لینڈ میں جل تھلیل	Categoria:Anfíbios da Nova Zelândia
زمرہ:ایران برطانیہ تعلقات	Categoria:Relações entre Irã e Reino Unido
زمرہ:مسلسلہ آلاتیات	Categoria:Mecânica dos meios contínuos
سانچہ:ترکی کے میٹروپولیٹن مراکز	Predefinição:Áreas metropolitanas da Turquia
زمرہ:پیسا (اطالیہ)	Categoria:Pisa
زمرہ:ریاستہائے متحدہ امریکہ کے یونیورسٹی شہر	Categoria:Cidades universitárias dos Estados Unidos
سانچہ:Country flag IOC alias KOR	Predefinição:Country flag IOC alias KOR
سانچہ:Country flag IOC alias QAT	Predefinição:Country flag IOC alias QAT
سانچہ:کرکٹ عالمی کپ	Predefinição:Copa do Mundo de Críquete
سانچہ:کروشیا-نامکمل	Predefinição:Esboço-Croácia
سانچہ:Culture of region	Predefinição:Cultura por região
زمرہ:اصناف	Categoria:Gêneros
زمرہ:قانون بلحاظ معاملہ	Categoria:Direito por disciplina
سانچہ:چیک جمہوریہ-نامکمل	Predefinição:Esboço-República Checa
زمرہ:فلینڈرس	Categoria:Flandres
شبکوری	Nictalopia
زمرہ:وفاقی ضلع (برازیل)	Categoria:Distrito Federal (Brasil)
زمرہ:قومی کتب خانے	Categoria:Bibliotecas nacionais
زمرہ:جغرافیائی تصاویر	Categoria:Imagens sobre geografia
زمرہ:افریقہ کی سابقہ سلطنتیں	Categoria:Antigos impérios da África
زمرہ:پاک بھارت تعلقات	Categoria:Relações entre Índia e Paquistão
زمرہ:ہندومت بلحاظ براعظم	Categoria:Hinduísmo por continente
زمرہ:ہندو الٰہیات	Categoria:Teologia hindu
سانچہ:جزائر سلیمان کے صوبے	Predefinição:Províncias das Ilhas Salomão
زمرہ:جزائر سلیمان کے صوبے	Categoria:Províncias das Ilhas Salomão
زمرہ:مؤرخین بلحاظ شعبہ	Categoria:Historiadores por tema de estudo
زمرہ:قدیم سٹرکیں اور راستے	Categoria:Estradas e trilhos antigos
زمرہ:تاریخ اطالیہ بلحاظ دور	Categoria:História da Itália por período
زمرہ:تاریخ کشمیر	Categoria:História da Caxemira
زمرہ:لائبیریا کے صدور	Categoria:Presidentes da Libéria
باب:ریاضیات	Portal:Matemática
زمرہ:تاریخ بعید ابلاغیات	Categoria:História das telecomunicações
زمرہ:تاریخ بھارتی ریاسات	Categoria:História da Índia por estado ou território
زمرہ:فعلیات	Categoria:Fisiologia
زمرہ:کینٹن	Categoria:Cantões
زمرہ:1957ء میں آفات	Categoria:Desastres em 1957
زمرہ:1970ء میں آفات	Categoria:Desastres em 1970
زمرہ:آسٹریا میں آفات	Categoria:Desastres na Áustria
ویکیپیڈیا:ویکی رخصت/پابندی	Wikipédia:Scripts/Wikipausa
زمرہ:مسئلہ کشمیر	Categoria:Conflito na Caxemira
سانچہ:Str right	Predefinição:Str right
زمرہ:زمبابوے کے نامکمل مضامین	Categoria:!Esboços sobre Zimbabwe
زمرہ:زمبابوے اولمپکس میں	Categoria:Zimbabwe nos Jogos Olímpicos
زمرہ:رقمی طبعہ تخطیط	Categoria:Tipografia digital
زمرہ:زیلینڈیا (براعظم)	Categoria:Zelândia (continente)
زمرہ:سرقسطہ	Categoria:Saragoça
زمرہ:زیمبیا زمبابوے تعلقات	Categoria:Relações entre Zâmbia e Zimbabwe
زمرہ:زغرب	Categoria:Zagreb
زمرہ:دائم	Categoria:Constantes
زمرہ:آئینی ترامیم	Categoria:Emendas constitucionais
ٹینا کول	Tina Cole
زمرہ:یریوان	Categoria:Erevan
زمرہ:بحیرہ اصفر	Categoria:Mar Amarelo
زمرہ:کرکٹ کھلاڑی بلحاظ قومیت	Categoria:Jogadores de críquete por país
زمرہ:پاکستان میں اکیسویں صدی کے سال	Categoria:Anos do século XXI no Paquistão
زمرہ:سنگاپور کی عبادت گاہیں	Categoria:Edifícios religiosos de Singapura
زمرہ:استونیا کی عبادت گاہیں	Categoria:Edifícios religiosos da Estônia
زمرہ:پاکستان میں بیسویں صدی کے سال	Categoria:Anos do século XX no Paquistão
زمرہ:سالہائے ریاستہائے متحدہ امریکہ	Categoria:Anos nos Estados Unidos
زمرہ:سالہائے جمہوریہ مقدونیہ	Categoria:Anos na República da Macedónia
زمرہ:سالہائے جمہوریہ ڈومینیکن	Categoria:Anos na República Dominicana
زمرہ:سالہائے چیک جمہوریہ	Categoria:Anos na República Tcheca
زمرہ:لاطینی ماہرین	Categoria:Latinistas
زمرہ:کرکٹ میں سال	Categoria:Críquete por ano
زمرہ:سالہائے زیمبیا	Categoria:Anos na Zâmbia
زمرہ:سالہائے ازبکستان	Categoria:Anos no Uzbequistão
زمرہ:سالہائے تونس	Categoria:Anos na Tunísia
زمرہ:سالہائے تھائی لینڈ	Categoria:Anos na Tailândia
زمرہ:سالہائے تنزانیہ	Categoria:Anos na Tanzânia
زمرہ:سالہائے تائیوان	Categoria:Anos em Taiwan
زمرہ:سالہائے ساؤ ٹومے و پرنسپے	Categoria:Anos em São Tomé e Príncipe
زمرہ:سالہائے شام	Categoria:Anos na Síria
زمرہ:سالہائے سویٹزرلینڈ	Categoria:Anos na Suíça
زمرہ:سالہائے سویڈن	Categoria:Anos na Suécia
زمرہ:سالہائے سرینام	Categoria:Anos no Suriname
زمرہ:سالہائے سری لنکا	Categoria:Anos no Sri Lanka
زمرہ:سالہائے صومالیہ	Categoria:Anos na Somália
زمرہ:سالہائے سلووینیا	Categoria:Anos na Eslovénia
زمرہ:سالہائے سلوواکیہ	Categoria:Anos na Eslováquia
زمرہ:سالہائے سنگاپور	Categoria:Anos em Singapura
زمرہ:سالہائے سیرالیون	Categoria:Anos em Serra Leoa
زمرہ:سالہائے سربیا	Categoria:Anos na Sérvia
زمرہ:سالہائے سینیگال	Categoria:Anos no Senegal
زمرہ:سالہائے سینٹ کیٹز و ناویس	Categoria:Anos em São Cristóvão e Nevis
زمرہ:سالہائے روانڈا	Categoria:Anos em Ruanda
زمرہ:سالہائے پیراگوئے	Categoria:Anos no Paraguai
زمرہ:سالہائے نائجیریا	Categoria:Anos na Nigéria
زمرہ:سالہائے نکاراگوا	Categoria:Anos na Nicarágua
زمرہ:سالہائے مالدووا	Categoria:Anos na Moldávia
زمرہ:سالہائے موریتانیہ	Categoria:Anos na Mauritânia
زمرہ:سالہائے مڈغاسکر	Categoria:Anos em Madagáscar
زمرہ:سالہائے لٹویا	Categoria:Anos na Letônia
زمرہ:سالہائے جمیکا	Categoria:Anos na Jamaica
زمرہ:سالہائے اسرائیل	Categoria:Anos em Israel
زمرہ:سالہائے عراق	Categoria:Anos no Iraque
زمرہ:سالہائے گیانا	Categoria:Anos na Guiana
زمرہ:سالہائے فرانس	Categoria:Anos na França
زمرہ:سالہائے استوائی گنی	Categoria:Anos na Guiné Equatorial
زمرہ:سالہائے مشرقی تیمور	Categoria:Anos em Timor-Leste
زمرہ:سالہائے ڈنمارک	Categoria:Anos na Dinamarca
زمرہ:سالہائے چین	Categoria:Anos na China
زمرہ:سالہائے چلی	Categoria:Anos no Chile
زمرہ:سالہائے برکینا فاسو	Categoria:Anos em Burkina Faso
زمرہ:سالہائے بلغاریہ	Categoria:Anos na Bulgária
زمرہ:سالہائے بولیویا	Categoria:Anos na Bolívia
زمرہ:سالہائے بینن	Categoria:Anos no Benim
زمرہ:سالہائے بلجئیم	Categoria:Anos na Bélgica
زمرہ:قبرصی ادب	Categoria:Literatura do Chipre
زمرہ:مالے زبان	Categoria:Língua malaia
زمرہ:دوسری جنگ عظیم کے مقبوضہ علاقہ جات	Categoria:Territórios ocupados durante a Segunda Guerra Mundial
زمرہ:ازواد	Categoria:Azawad
زمرہ:سیاسی دباؤ	Categoria:Repressão política
زمرہ:مغربی انٹارکٹیکا	Categoria:Antártida Ocidental
زمرہ:جغرافیہ بحر منجمد جنوبی	Categoria:Geografia do Oceano Antártico
زمرہ:فنون بلحاظ شعبہ	Categoria:Obras por mídia
زمرہ:بین الاقوامی سائنسی تنظیمیں	Categoria:Organizações científicas internacionais
سفر اور سیاحت تقابلی روداد	Índice de Competitividade em Viagens e Turismo
زمرہ:بین الاقوامی نقل و حمل	Categoria:Transporte internacional
زمرہ:جاپان میں خواتین	Categoria:Mulheres no Japão
زمرہ:وزرائے اطالیہ	Categoria:Ministros da Itália
زمرہ:ولیم شیکسپیئر	Categoria:William Shakespeare
زمرہ:گوئٹے	Categoria:Johann Wolfgang von Goethe
زمرہ:ایمانویل کانٹ	Categoria:Immanuel Kant
زمرہ:چوکوتکا خود مختار آکرگ	Categoria:Chukotka
زمرہ:علی	Categoria:Ali
زمرہ:انٹارکٹک خطہ	Categoria:Região Antártica
زمرہ:کولوراڈو کی معیشت	Categoria:Economia do Colorado
زمرہ:سمندر اور دریا کی دیویاں	Categoria:Deusas marítimas e fluviais
باب:مائیکرو سافٹ	Portal:Microsoft
زمرہ:شمالی امریکہ کے نسلی گروہ	Categoria:Grupos étnicos da América do Norte
زمرہ:نسلی گروہ بلحاظ براعظم	Categoria:Grupos étnicos por continente
زمرہ:اعزازات بلحاظ موضوع	Categoria:Prémios por tema
زمرہ:لبنان میں 1980ء	Categoria:1980 no Líbano
زمرہ:جغرافیائی سانچے بلحاظ ملک	Categoria:!Predefinições sobre geografia por país
زمرہ:امریکہ کے سیاسی و حکومتی سانچے	Categoria:!Predefinições sobre política dos Estados Unidos
سانچہ:ملائیشیا کی ریاستیں اور وفاقی علاقے	Predefinição:Subdivisões da Malásia
زمرہ:تاریخ برشلونہ	Categoria:História de Barcelona
زمرہ:آبادیات بنگلہ دیش	Categoria:Demografia de Bangladesh
زمرہ:آبادیات بحرین	Categoria:Demografia do Barein
زمرہ:آبادیات گیمبیا	Categoria:Demografia da Gâmbia
زمرہ:آبادیات ہونڈوراس	Categoria:Demografia de Honduras
زمرہ:آبادیات جمہوری جمہوریہ کانگو	Categoria:Demografia da República Democrática do Congo
زمرہ:آبادیات جمہوریہ ڈومینیکن	Categoria:Demografia da República Dominicana
زمرہ:آبادیات عراق	Categoria:Demografia do Iraque
زمرہ:آبادیات کمبوڈیا	Categoria:Demografia do Camboja
زمرہ:آبادیات لبنان	Categoria:Demografia do Líbano
زمرہ:آبادیات ملائیشیا	Categoria:Demografia da Malásia
زمرہ:آبادیات برما	Categoria:Demografia de Mianmar
زمرہ:آبادیات نیپال	Categoria:Demografia do Nepal
زمرہ:آبادیات پورٹو ریکو	Categoria:Demografia de Porto Rico
زمرہ:آبادیات سیرالیون	Categoria:Demografia da Serra Leoa
زمرہ:آبادیات یوگنڈا	Categoria:Demografia de Uganda
زمرہ:آبادیات سری لنکا	Categoria:Demografia do Sri Lanka
زمرہ:فہرست مقامات عالمی ثقافتی ورثہ	Categoria:Listas de Locais Patrimônio Mundial
زمرہ:منقسم شہر	Categoria:Cidades divididas
زمرہ:جزائر کیمین کے آباد مقامات	Categoria:Assentamentos nas Ilhas Cayman
زمرہ:یونان کی جامعات	Categoria:Universidades da Grécia
اباجے	Ubajay
اکوآ	Ucua
زمرہ:آبادیات کینیڈا	Categoria:Demografia do Canadá
زمرہ:شمالی علاقہ (آسٹریلیا)	Categoria:Território do Norte
زمرہ:فلسفی بلحاظ شعبہ	Categoria:Filósofos por assunto
زمرہ:بلقان	Categoria:Bálcãs
زمرہ:آسٹریلیا کی خلیجیں	Categoria:Baías da Austrália
زمرہ:جنوبی امریکہ کے آباد مقامات	Categoria:Assentamentos na América do Sul
زمرہ:تنظیمیں بلحاظ براعظم	Categoria:Organizações por continente
زمرہ:قوم پرست جماعتیں	Categoria:Partidos políticos nacionalistas
سانچہ:Country data Mendoza	Predefinição:Country data Mendoza
سانچہ:Country data Misiones	Predefinição:Country data Misiones
زمرہ:نازی جماعتیں	Categoria:Partidos nazistas
زمرہ:مصنفین بلحاظ زبان	Categoria:Escritores por idioma
زمرہ:افریقہ کی عمارات و ساخات	Categoria:Construções da África
زمرہ:ویکیپیڈیا ترجمہ	Categoria:Wikipédia:Tradução
زمرہ:قومی ایوان زیریں	Categoria:Câmaras baixas
زمرہ:شمارندکاری منبرات	Categoria:Plataformas de desenvolvimento
زمرہ:سینیگال کی علاقائی تقسیم	Categoria:Regiões do Senegal
زمرہ:ویکیپیڈیا اکثر پوچھے جانے والے سوالات	Categoria:FAQs
